Part Number,1,5,10,25,50,100,250,500,1000
CF14JT10K0CT-ND,0.15,-,0.061,0.044,0.0336,0.0248,0.01892,0.01512,0.01115
1568-1123-ND,4.24,-,-,-,-,-,-,-,-
296-28933-1-ND,2.11,-,1.883,-,-,1.4677,-,1.21248,0.95723
MC14572UBDG-ND,0.99,-,0.857,-,-,0.6391,-,0.50214,0.38801
469-1004-ND,0.63,0.6,0.534,0.4912,0.3932,0.337,-,0.29492,0.25278
480-2015-ND,27.28,-,24.617,23.5856,22.1114,21.4414,-,-,-
917-1130-ND,594.74,-,-,-,-,-,-,-,-
A113320-ND,1.49,-,0.929,0.796,0.7152,0.7003,0.59608,0.56624,0.50664
1-487526-5-ND,1.19,-,1.052,0.9912,0.9496,0.9084,0.82584,0.74328,0.66068
1050-1066-ND,28.44,-,-,-,-,-,-,-,-
1286-1220-ND,38.23,-,-,-,-,-,-,24.8589,-
700-00012-ND,6.1,5.798,5.493,5.3352,-,-,-,-,-
490-17811-1-ND,0.14,-,0.022,-,-,0.0098,-,0.00696,0.00546
